Date,Customer_ID,,Quantity,Sales_Amount
4/1/2016,6723,,1,6.75
4/1/2016,6723,,2,8.8
4/1/2016,2822,,1,5.79
4/1/2016,4815,,1,29.31
4/1/2016,4815,,3,5.28
4/1/2016,4815,,2,31.41
4/1/2016,4815,,1,4.19
4/1/2016,3344,,1,8.18
4/1/2016,3344,,1,5.73
4/1/2016,3344,,1,8.93
4/1/2016,3344,,2,11.18
4/1/2016,3344,,1,2.43
4/1/2016,6843,,1,3.1
4/1/2016,6843,,1,7.57
4/1/2016,5752,,1,4.26
4/1/2016,5752,,1,16.5
4/1/2016,5752,,5,3.41
4/1/2016,5752,,1,18.06
4/1/2016,8008,,1,8.25
4/1/2016,8008,,1,3.62
4/1/2016,424,,1,3.41
4/1/2016,6324,,1,3.1
4/1/2016,6324,,1,6.07
4/1/2016,8635,,1,8.37
4/1/2016,8635,,1,10.44
4/1/2016,8035,,1,24.93
4/1/2016,4124,,1,1.71
4/1/2016,176,,1,2.68
4/1/2016,5984,,2,16.27
4/1/2016,5984,,1,6.75
4/1/2016,5984,,1,2
4/1/2016,274,,1,5.97
4/1/2016,274,,2,7.73
4/1/2016,274,,2,4.86
4/1/2016,274,,1,29.59
4/1/2016,274,,1,12.87
4/1/2016,8780,,1,4.21
4/1/2016,8780,,2,5.5
4/1/2016,8780,,1,1.84
4/1/2016,1685,,1,5.47
4/1/2016,1685,,1,5.73
4/1/2016,1685,,1,6.12
4/1/2016,1685,,1,5.8
4/1/2016,1685,,1,1.62
4/1/2016,1685,,2,3.94
4/1/2016,6404,,1,2.33
4/1/2016,7946,,1,2.31
4/1/2016,1531,,1,8.38
4/1/2016,1531,,1,5.38
4/1/2016,3290,,1,11.75
4/1/2016,2811,,2,3.41
4/1/2016,2811,,1,22.38
4/1/2016,7880,,1,5.87
4/1/2016,7880,,2,15.42
4/1/2016,4323,,1,6
4/1/2016,60,,3,6.24
4/1/2016,6670,,2,9.07
4/1/2016,6670,,1,40.72
4/1/2016,6670,,2,2.59
4/1/2016,6670,,2,21.46
4/1/2016,6670,,2,30.3
4/1/2016,5449,,1,11.94
4/1/2016,3036,,1,5.38
4/1/2016,8727,,1,3.46
4/1/2016,5241,,2,4.86
4/1/2016,5241,,1,13.88
4/1/2016,5241,,4,13.37
4/1/2016,5241,,1,6.12
4/1/2016,263,,1,5.8
4/1/2016,2237,,2,11.02
4/1/2016,2237,,1,5.04
4/1/2016,2237,,1,92.39
4/1/2016,2237,,1,22.53
4/1/2016,2237,,1,5.73
4/1/2016,2237,,2,4.44
4/1/2016,477,,1,22.88
4/1/2016,477,,1,34.06
4/1/2016,5259,,1,1.38
4/1/2016,5259,,1,1.56
4/1/2016,5259,,1,1.3
4/1/2016,754,,1,1.02
4/1/2016,3206,,1,21.34
4/1/2016,8800,,1,3.1
4/1/2016,8800,,1,4.84
4/1/2016,3206,,1,2.37
4/1/2016,3206,,1,8.98
4/1/2016,3206,,1,8.4
4/1/2016,3206,,1,1.89
4/1/2016,3206,,1,4
4/1/2016,3206,,1,7.32
4/1/2016,3206,,1,1.75
4/1/2016,3206,,2,6.74
4/1/2016,3206,,2,7.67
4/1/2016,3206,,1,2.84
4/1/2016,3206,,1,7.41
4/1/2016,3206,,1,9.75
4/1/2016,4349,,1,3.54
4/1/2016,1643,,1,2.11
4/1/2016,1643,,1,4.81
4/1/2016,1643,,1,4.94
4/1/2016,5038,,1,8.25
4/1/2016,5038,,1,17.68
4/1/2016,651,,1,4.14
4/1/2016,651,,2,6.87
4/1/2016,651,,2,12.27
4/1/2016,651,,1,4.06
4/1/2016,7343,,1,4.54
4/1/2016,7343,,1,1.71
4/1/2016,7343,,1,1.64
4/1/2016,7343,,1,2.43
4/1/2016,7343,,1,1.68
4/1/2016,6353,,1,6.35
4/1/2016,5367,,1,20.13
4/1/2016,5367,,1,7.44
4/1/2016,2762,,1,36.22
4/1/2016,8745,,1,19
4/1/2016,3494,,1,3.54
4/1/2016,2071,,1,9.21
4/1/2016,2071,,1,2.11
4/1/2016,2071,,1,4.68
4/1/2016,2071,,1,11
4/1/2016,2071,,1,6.12
4/1/2016,2071,,1,9.5
4/1/2016,6854,,1,19.44
4/1/2016,6854,,1,3.69
4/1/2016,5541,,2,10.74
4/1/2016,5541,,1,4.43
4/1/2016,5541,,1,62.16
4/1/2016,5541,,1,9.42
4/1/2016,5541,,1,14
4/1/2016,5541,,1,4.5
4/1/2016,5541,,1,2.86
4/1/2016,9145,,1,5.79
4/1/2016,5939,,1,6.38
4/1/2016,1635,,1,3.68
4/1/2016,1635,,2,18.67
4/1/2016,7340,,1,5.91
4/1/2016,6809,,5,24.69
4/1/2016,6809,,5,24.69
4/1/2016,5175,,1,3.62
4/1/2016,5175,,5,2.73
4/1/2016,5175,,1,6.35
4/1/2016,1997,,1,6.75
4/1/2016,1997,,1,7.71
4/1/2016,7130,,2,0.15
4/1/2016,7130,,2,4.25
4/1/2016,4372,,1,6.35
4/1/2016,4372,,1,12.21
4/1/2016,4372,,1,9.06
4/1/2016,4372,,1,4.19
4/1/2016,4604,,1,7.02
4/1/2016,4604,,1,5.79
4/1/2016,4604,,1,6.35
4/1/2016,4604,,1,7.02
4/1/2016,4604,,1,6.35
4/1/2016,4604,,1,8.25
4/1/2016,4604,,1,7.85
4/1/2016,4604,,1,7.81
4/1/2016,4604,,1,8
4/1/2016,5770,,1,7.88
4/1/2016,1669,,1,10.44
4/1/2016,1669,,1,7.8
4/1/2016,944,,1,1.71
4/1/2016,944,,1,2.11
4/1/2016,944,,1,2.66
4/1/2016,1211,,1,4.84
4/1/2016,1211,,1,2.11
