Business Name,City,State,ZIP,ZIP 4,Key Executive,Gender,Location Employee Size,Corporate Employee Size,Revenue / Yr,County Name,County Population,Metro Area,Latitude,Longitude,Main Line of Business,Location Type,Importer or Exporter,Manufacturer,Primary SIC,Primary SIC Description,NAICS,NAICS Description,Non-Profit,Number of PCs,Public / Private,Small Business,Square Footage,Website,Women Owned,Year Established,Business Credit Score,2017 Revenue/Yr,2016 Revenue/Yr,2015 Revenue/Yr,2016 % Sales Growth,2015 % Sales Growth,2017 Employees,2016 Employees,2015 Employees,2016 % Employee Growth,2015 % Employee Growth,Est. Accounting Annual Expense,Est. Advertising Annual Expense,Est. Business Insurance Annual Expense,Est. Legal Annual Expense,Est. Office Equipment Annual Expense,Est. Rent Annual Expense,Est. Technology Annual Expense,Est. Telecom Annual Expense,Est. Utilities Annual Expense,Franchise Type
H-E-B Foods,Marble Falls,TX,78654,4902,Executive Officer,Unknown,550,"45,000","$90,311,485 ",Burnet,"Up to 24,999",,30.5822708,-98.2783405,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.heb.com,No,,99,90311485,90311485,90311485,0,0,550,550,550,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",Chain Location
Giant Eagle,Pittsburgh,PA,15205,2336,Owner,Male,500,"36,000","$89,617,200 ",Allegheny,"250,000 to 499,999","Pittsburgh, PA",40.439825,-80.070446,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.gianteagle.com,No,,100,89617200,89617200,89617200,0,0,500,500,500,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",True Franchise
Giant Eagle,Pittsburgh,PA,15205,1421,Manager,Male,500,"36,000","$89,617,200 ",Allegheny,"250,000 to 499,999","Pittsburgh, PA",40.441805,-80.151675,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.gianteagle.com,No,2010,97,89617200,89617200,89617200,0,0,500,500,500,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",True Franchise
Giant Eagle,Pittsburgh,PA,15205,2601,Owner,Male,500,"36,000","$89,617,200 ",Allegheny,"250,000 to 499,999","Pittsburgh, PA",40.43874786,-80.07082955,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.gianteagle.com,Yes,,100,89617200,89617200,89617200,0,0,500,500,500,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",True Franchise
Giant Eagle,Pittsburgh,PA,15205,1005,Owner,Male,500,"36,000","$89,617,200 ",Allegheny,"250,000 to 499,999","Pittsburgh, PA",40.4473673,-80.1628338,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.gianteagle.com,No,2010,97,89617200,89617200,89617200,0,0,500,500,500,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",True Franchise
H-E-B Foods,San Antonio,TX,78238,1986,Executive Officer,Female,500,"45,000","$89,512,150 ",Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.4824522,-98.5952113,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.heb.com,No,,100,89512150,89512150,5370729,0,1566.67,500,500,30,0,1566.67,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",Chain Location
Publix Super Market,Lakeland,FL,33815,,Manager,Female,500,"190,000","$88,967,800 ",Polk,"50,000 to 99,999","Lakeland-Winter Haven, FL",28.03817848,-82.00665961,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,2015,94,88967800,88967800,88967800,0,0,500,500,500,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",Chain Location
H-E-B Foods,Corpus Christi,TX,78413,2816,Manager,Male,500,"45,000","$88,528,500 ",Nueces,"250,000 to 499,999","Corpus Christi, TX",27.6853817,-97.3886333,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.heb.com,No,,97,88528500,88528500,5311710,0,1566.67,500,500,30,0,1566.67,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",Chain Location
Hy-Vee,Minneapolis,MN,55427,1166,Executive Officer,Male,450,"85,000","$88,210,485 ",Hennepin,"250,000 to 499,999",Minneapolis-St. Paul-Bloomingt,45.033255,-93.384686,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.hy-vee.com,No,2015,94,88210485,88210485,5488652,0,1507.14,450,450,28,0,1507.14,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",Chain Location
Hy-Vee,Columbia,MO,65203,102,Manager,Female,500,"85,000","$87,984,150 ",Boone,"100,000 to 249,999","Columbia, MO",38.9535477,-92.3832528,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.hy-vee.com,No,,100,87984150,87984150,87984150,0,0,500,500,500,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",Chain Location
